,code,description,disciplinary course(s),consecutive course(s),faculty,cancel_course
425,mr448,fundamental of biomaterials medical applications of biomaterials applications of polymer ceramics metals bioceramics and biological glasses soft and hard tissue characterization of biomaterials material-tissue interface material-tissue interactions drug delivery systems biomaterials for organ replacement tissue engineering,['disciplinary course(s): mr200'],[],sci,['mr200']
426,mr449,interesting topics progresses and modern science of materials science,['disciplinary course(s): mr200'],[],sci,['mr200']
427,mr492,a student project involving a study and research in a field of materials science and under a supervision of a member of the departmental staff,['disciplinary course(s): mr200 and mr292 and mr392\nและเป็นนักศึกษาชั้นปีที่ 4 ขึ้นไป'],[],sci,"['mr200', 'mr292', 'mr392']"
428,mr495,seminar topics include subject matters in materials science students are required to offer appropriate seminar topics upon the approval of the department each student is required to give a lecture and submit a report on the approved topic,['disciplinary course(s): mr200\nและเป็นนักศึกษาตั้งแต่ชั้นปีที่ 4 ขึ้นไป'],[],sci,['mr200']
432,np212,introduction to microprocessors structure of microprocessor internal architecture of the microcontroller memories bus size register and addressing modes parallel and serial ports interrupt concept timer and counter input-output interfaces and application of microcontrollers in controlling system,['disciplinary course(s): np210'],['consecutive course(s): np311'],sci,"['np210', 'np311']"
433,np213,introduction of open-source high-level programming languages equipped with comprehensive scientific computing tools developing algorithms and designing programmes in scientific instrument control data visualization and data analysis for scientific research,[],[],sci,[]
434,np216,basic concepts of circuit design process modeling and simulation use of computer-aidded design tools such as protel orcad eagle or pspice circuit design and analysis with computer programming example of computer-aided circuit design applications,['disciplinary course(s): np211'],[],sci,['np211']
435,np217,introduction to methods and applications of nondestructive testing in industries such as visual testing ultrasound testing thermographic inspection and electromagnetic testing explanation of physical principles of the nondestructive testing methods designs of the nondestructive testing instruments using physics and electronics knowledge,['disciplinary course(s): np200'],[],sci,['np200']
436,np219,basic designing concept mechanisms basic kinematic analysis sensors actuators signal conditioning computer architecture data acquisition system control software system assignments and projects,['disciplinary course(s): np210'],[],sci,['np210']
437,np220,laboratories to provide practical experience in np 200,['disciplinary course(s): np200 or\nparallel degree/ dual degree np200'],[],sci,"['np200', 'np200']"
438,np307,present new and emerging technologies of innovative sensors describe the integration concept of physics electronics and the control programming for developing the innovative sensors used for chemical and biological sensing present the applications of innovative sensors for automotive industry information technology and communication healthcare agriculture construction and architecture and energy,[],[],sci,[]
439,np311,introduction to high level language for microcontrollers spi and i2c serial communication wireless devices programming microcontroller design for internet of things and microcontroller applications using android interface,['disciplinary course(s): np212'],[],sci,['np212']
441,np316,characteristics of op-amp non-inverting and inverting amplifier circuit difference amplifier circuit summing amplifier circuit filters circuit converter and oscillator circuit instrument amplifier using ic 555 phase lock loop and oscillator circuit oscillator circuit with ota,['disciplinary course(s): np210'],[],sci,['np210']
442,np317,the basic knowledge of measurement and control systems for instruments or machines in industries theoretical principles of operation of programmable logic control (plc) proportional integral derivative (pid) and feedback control programming and signal processing for automatic control systems the design and selecting of sensors and actuators for construction of instruments or machine controller in industries laboratories for industrial control system based on plc,['disciplinary course(s): np210'],[],sci,['np210']
